sap_no,part_no,part_description,planned_output,is_active
10011564,MA99002500,MA99002500 welding thread CO2 0.8(15kg),,1
10025819,10025819,ก๊าชคาร์บอนไดอ๊อกไซค์CO2(27KG/CYL),,1
10030455,P002520,P002520 Cross round self-tapping screw F ,,1
10030465,U000409,U000409 Round lock head assembly,,1
10030466,P000492,P000492 Round lock head joint,,1
10030467,P000538,P000538 Hexagon socket flat end set screw M4x5,,1
10030470,P002761,P002761 Drawer lock housing,,1
10030471,P002762,P002762 Drawer lock tongue,,1
10030472,P002763,P002763 Drawer lock spring,,1
10030473,P002662,P002662 Transmission shaft Φ6*526,,1
10030476,P001100,P001100 Flat washer,,1
10030477,P000937,P000937 Spring washer,,1
10030478,P002668,P002668 Hexagonal flange bolt M8x20,,1
10030481,P002669,P002669 Handle ear,,1
10030482,P002670,P002670 Handle tube φ32×400,,1
10030483,P002671,P002671 hexagonal half-thread bolt M6×50,,1
10030762,P002571,P002571 Hook Holder,,1
10032039,P002407,P002407 Open aluminum rivet,,1
10033352,10033352,FINE CLEANER T5008,,1
10033353,10033353,PREPALENE XG,,1
10033354,10033354,ADDITIVE 4977B,,1
10033355,10033355,PALBOND LT5103RF-1,,1
10033356,10033356,NEUTRALIZER 4055,,1
10033357,10033357,ACCELERATOR 131,,1
10034174,P002803,P002803 ball slide rail core (left),,1
10034175,P002804,P002804 ball slide rail shell (left),,1
10034176,P002805,P002805 ball slide rail core (right),,1
10034177,P002806,P002806 ball slide rail shell (right),,1
10034178,P000457,P000457 Open aluminum rivet 4x6,,1
10034185,P002729,P002729 ball slide rail core (left),,1
10034186,P003213,P003213 ball slide rail core (right),,1
10034191,P002829,P002829 Hexagon socket wrench 5mm,,1
10034195,P002661,P002661 Hexagonal flat head rivet nut M6,,1
10034196,CM01000007,CM01000007 High gloss red powder,,1
10034197,P002608,P002608 Aluminum handle 969mm,,1
10034198,P002609,P002609 Aluminum handle 335mm,,1
10034205,P002610,P002610 Plastic slide lock L=328.6mm,,1
10034206,P002611,P002611 Plastic slide lock L=960.6mm,,1
10034208,P002664,P002664 Extended slide lock L=360mm,,1
10034209,P002672,P002672 Socket,,1
10034214,P000458,P000458 Open aluminum rivet,,1
10034215,P002830,P002830 Cross slot pan head bolt,,1
10034216,P002939,P002939 Cross tapping screw,,1
10034224,P002663,P002663 Aluminum handle 1348mm,,1
10034225,EC990003,EC990003 Power cord,,1
10034227,P002666,P002666 Heavy duty heightened fixed caster,,1
10034228,P002667,P002667 Heavy duty heightened universal caster,,1
10034231,CM01000007,CM01000007 High gloss black powder,,1
10034269,P002583,P002583 Balance Bar,,1
10034277,P002592,P002592 Drawer Handle Small Left,,1
10034278,P002593,P002593 Drawer Body Small Left,,1
10034280,P002595,P002595 Drawer Handle Big Left,,1
10034281,P002596,P002596 Drawer Body Big Left,,1
10034286,P002601,P002601 Drawer Handle Big Right,,1
10034289,P002617,P002617 Bottom Back,,1
10034290,P002618,P002618 Bottom Back Horizontal Reinf ,,1
10034291,P002619,P002619 Bottom Back Vertical Reinf,,1
10034292,P002620,P002620 Bottom Back Side Reinf,,1
